[2022-07-02 20:30:27,464] [INFO] "GET /admin/Api_app/db_power_list/ HTTP/1.1" 200 8020
[2022-07-02 20:30:27,477] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 8398
[2022-07-02 20:30:30,803] [INFO] "GET /get_power_list/ HTTP/1.1" 200 84
[2022-07-02 20:31:14,019] [INFO] "GET /get_power_list HTTP/1.1" 301 0
[2022-07-02 20:31:14,030] [INFO] "GET /get_power_list/ HTTP/1.1" 200 84
[2022-07-02 20:32:04,411] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 20:32:04,904] [INFO] Watching for file changes with StatReloader
[2022-07-02 20:35:20,139] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 20:35:20,521] [INFO] Watching for file changes with StatReloader
[2022-07-03 18:16:07,153] [INFO] Watching for file changes with StatReloader
[2022-07-03 18:16:09,428] [INFO] "GET /index/ HTTP/1.1" 302 0
[2022-07-03 18:16:09,437] [INFO] "GET /accounts/login/?next=/index/ HTTP/1.1" 200 4941
[2022-07-03 18:16:14,905] [INFO] "POST /login_action/ HTTP/1.1" 302 0
[2022-07-03 18:16:14,911] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-03 18:16:14,923] [INFO] "GET /static/css/app.2a5c87fa.css HTTP/1.1" 200 2582
[2022-07-03 18:16:14,926] [INFO] "GET /static/js/app.82b35b9e.js HTTP/1.1" 200 33885
[2022-07-03 18:16:14,929] [INFO] "GET /static/css/chunk-vendors.dd50ba92.css HTTP/1.1" 200 240819
[2022-07-03 18:16:14,930] [INFO] "GET /static/js/chunk-vendors.978f4292.js HTTP/1.1" 200 897555
[2022-07-03 18:16:14,979] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:16:14,982] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 641
[2022-07-03 18:16:14,995] [INFO] "GET /static/fonts/element-icons.535877f5.woff HTTP/1.1" 200 28200
[2022-07-03 18:16:15,014] [WARNING] Not Found: /favicon.ico/
[2022-07-03 18:16:15,014] [WARNING] "GET /favicon.ico/ HTTP/1.1" 404 5284
[2022-07-03 18:16:17,980] [INFO] "GET /admin/ HTTP/1.1" 200 9393
[2022-07-03 18:16:19,618] [INFO] "GET /admin/Api_app/db_power_list/ HTTP/1.1" 200 7798
[2022-07-03 18:16:19,635] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 8398
